飲食費,交際費,得意先の接待・贈答など
飲食費,福利厚生費,医療・親睦・慶弔など
営業関連の支払い,仕入れ高,販売する商品の仕入れ
営業関連の支払い,旅費交通費,交通費・宿泊費など
営業関連の支払い,広告宣伝費,事業、商品の広告・PR費用
営業関連の支払い,外注費,仕事を外部に発注した費用
営業関連の支払い,荷造り運賃,商品の発送費用
営業関連の支払い,交際費,得意先の接待・贈答など
物品の購入等,消耗品費,日用品・事務機器など
物品の購入等,新聞図書費,新聞・書籍・情報サイト
物品の購入等,リース料,備品などのリース費用
物品の購入等,修繕費,修理費・維持管理費など
物品の購入等,車両費,ガソリン・オイル・整備費など
設備関連の支払い,地代家賃,事務所・店舗・駐車場など
設備関連の支払い,水道光熱費,電気・ガス・水道など
設備関連の支払い,通信費,電話・ネット・郵便など
税・保険・手数料,租税公課,各種税金・印紙代など
税・保険・手数料,事業主貸,所得税・住民税など
税・保険・手数料,預り金,源泉所得税や社保料の支払い
税・保険・手数料,支払手数料,振込手数料・専門家報酬など
税・保険・手数料,保険料,損害保険料など
給与・福利厚生,給料手当,給与と諸手当
給与・福利厚生,福利厚生費,医療・親睦・慶弔など
給与・福利厚生,預り金,源泉所得税や社保料の支払い
給与・福利厚生,法定福利費,社会保険、労働保険等
給与・福利厚生,専従者給与,青色事業専従者向け給与
給与・福利厚生,賞与,ボーナス
給与・福利厚生,退職金,退職時に支払う慰労金
金銭貸借・一時支払,事業主貸,所得税・住民税など
金銭貸借・一時支払,立替金,取引先や従業員へ立替
金銭貸借・一時支払,短期借入金,借入金の返済
金銭貸借・一時支払,短期貸付金,貸付金の貸付
金銭貸借・一時支払,支払利息,借入金の利息
金銭貸借・一時支払,仮払金,使途・金額の未確定な支払
固定資産の購入,ソフトウェア,購入または制作したもの
固定資産の購入,工具器具備品,事務所や工場の備品
固定資産の購入,機械装置,製造・加工品装置
固定資産の購入,車両運搬具,自動車など
固定資産の購入,建物,事務所・倉庫など
その他,雑費,臨時的、または少額な支出
その他,差入保証金,敷金・保証金の差し入れなど
その他,元入金,事業主貸と相殺する時など
その他,有価証券,株式・社債の購入など
